Signature,Raag,Thaat,Prahar,Aaroha,Avroha,Vadi,Samvadi,Pakad,Jati,AS,AR,AG,AM,AP,AD,AN,VS,VR,VG,VM,VP,VD,VN,coeff,P,V,S,coeff2,BS,BR,BG,BM,BP,BD,BN
429,"Bhairav, Bhavmat",Bhairav,1 (6am - 9am),S - G - m - D - n - S',S' - D - M - m - G - m - P - G - r - S,G,D,"S - G - m - P, m - D - M - S, P - G - r - S",Audav - Shadav,H,A,H,H,A,H,K,H,K,H,B,H,H,A,3.3333,1,3,4,3.5,H,K,H,B,H,H,K
50,"Bilawal, Yamani",Kalyan,1 (6am - 9am),S - R - G - P - D - N - S',"S' - N - D - P, D - n - D - P - M - G - m - G - R, G - R - S",G,D,"D - n - D - P - M - G, m - G - R",Shadav - Sampoorna,H,H,H,A,H,H,H,H,H,H,B,H,H,B,3.7333,1,3,4,3.5,H,H,H,B,H,H,B
240,"Kalyan, Chandra",Poorvi,5 (6pm - 9pm),S - r - M - P - d - P - N - S',S' - N - r - N - d - P - M - d - P - M - r - S,P,S,,Shadav - Shadav,H,K,A,T,H,K,H,H,K,A,T,H,K,H,4.1667,5,2,1,1.5,H,K,A,T,H,K,H
491,Jaunkali,Asavari,1 (6am - 9am),No specific aaroha set,No specific aaroha set,d,g,"S - R - m - P - d - P,  n - d - M - p,  d - n - d - P - g - R - S",Mishra/Sankeerna,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,1,3,4,3.5,A,A,A,A,A,A,A
366,Kakambheri,Bhairavi,1 (6am - 9am),S - r - g - m - P - d - S',S' - n - d - P - m - g - r - S,D,G,,Shadav - Sampoorna,H,K,K,H,H,K,A,H,K,K,H,H,K,K,3.1538,1,4,3,3.5,H,K,K,H,H,K,K
44,"Bilawal, Alhaiya",Bilawal,1 (6am - 9am),S - GR - GP - DN - S',S' - ND P - DnD - P - mG mR - S,D,G,"S' - (N)D - nD - P, P - D - G - P - m - G - m - R - S",Shadav - Sampoorna,H,H,H,A,H,H,H,H,H,H,H,H,H,B,3.5,1,4,3,3.5,H,H,H,H,H,H,B
58,Deskar,Bilawal,1 (6am - 9am),S - R - G - P - D - S',"S' - D - P -, D - P - G, R - 'D - S",D,G,SD - PDS'DP DGP GPDP G - RS R'DS,Audav - Audav,H,H,H,A,H,H,A,H,H,H,A,H,H,A,3,1,4,3,3.5,H,H,H,A,H,H,A
265,"Ranjani, Kamal",Bilawal,1 (6am - 9am),S - G - P - D - N - S',S' - N - D - n - P - m - G - S,D,G,,Audav - Shadav,H,A,H,A,H,H,H,H,A,H,H,H,H,B,3.25,1,4,3,3.5,H,A,H,H,H,H,B
365,Kolahal,Bilawal,1 (6am - 9am),S - R - G - m - P - N - D - N - S',S' - N - P - D - m - G - R - S,D,G,,Sampoorna - Sampoorna,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3.2857,1,4,3,3.5,H,H,H,H,H,H,H
479,"Bilawal, Shuddha",Bilawal,1 (6am - 9am),S - R - G - P - D - N - S',S' - N - D - P - DG - mRGPm - G - RS,D,G,DG - mRGPm - G - RS,Shadav - Sampoorna,H,H,H,A,H,H,H,H,H,H,H,H,H,H,3.3846,1,4,3,3.5,H,H,H,H,H,H,H
485,"Hindol, Ajad",Kalyan,1 (6am - 9am),S - G - M - D - S',S' - N - D - P - M - G - S,D,G,"M - D - N - D - P, M - D - S', S' - D - M - G - P, M - G, G - S",Vakra,H,A,H,T,A,H,A,H,A,H,T,H,H,H,3.8,1,4,3,3.5,H,A,H,T,H,H,H
26,"Bhairav, Bairagi",Bhairav,1 (6am - 9am),S - r - m - P - n - S,S - n - P - m - r - S,n,m,"r - m - P, n - P - n, n - m - r - n, P - n - r - S",Audav - Audav,H,K,A,H,H,A,K,H,K,A,H,H,A,K,3.2,1,5,2,3.5,H,K,A,H,H,A,K
264,Asa / Asa Maand / Aarabhi,Bilawal,1 (6am - 9am),S - R - m - P - D - S',S' - N - D - P - m - G - R - S,S,m,R - P - m - G - R - S - 'N - 'D - S,Audav - Sampoorna,H,H,A,H,H,H,A,H,H,H,H,H,H,H,3.0833,1,1,2,1.5,H,H,H,H,H,H,H
377,"Bhatiyar, Lalit",Poorvi,1 (6am - 9am),"S, m - P - G, M - D - N - S'","S, - r' - N - D - P - D - m - P - G, GmMmG - MdMmG, MGrS",S,m,"SD - m - P - G, MdMmG, rGPDPGrS",Mishra/Sankeerna,H,A,H,B,H,H,H,H,K,H,B,H,B,H,3.6875,1,1,2,1.5,H,K,H,B,H,B,H
308,"Manohari, Kamal",Bhairav,1 (6am - 9am),S - G - m - P - d - N - S',S' - N - d - P - m - G - S,G,N,,Shadav - Shadav,H,A,H,H,H,K,H,H,A,H,H,H,K,H,2.8333,1,3,6,4.5,H,A,H,H,H,K,H
326,Desh Gaud,Bhairav,1 (6am - 9am),"S - r - S, P - d - N - S'","S' - N - d - P, S - r - S",R,P,,Audav - Audav,H,K,A,A,H,K,H,H,K,A,A,H,K,H,3.6,1,5,2,3.5,H,K,A,A,H,K,H
516,"Kalyan, Anjani",Kalyan,1 (6am - 9am),S - R - g - M - P - D - N - S',S' - N - D - P - M - g - R - S,R,P,gR  gM P Mg R - S N.D.N. R S,Sampoorna - Sampoorna,H,H,K,T,H,H,H,H,H,K,T,H,H,H,4.1429,1,5,2,3.5,H,H,K,T,H,H,H
300,Sorath,Khamaaj,1 (6am - 9am),"S - R, m - P - N, S","S' - R', n - D, m - P - D, m - R - 'N - S",R,P,,Audav - Sampoorna,H,H,A,H,H,A,H,H,H,A,H,H,H,B,3.4167,1,5,2,3.5,H,H,A,H,H,H,B
268,"Basant, Gopika",Asavari,1 (6am - 9am),S - g - m - P - m - d - n - S',S' - n - d - P - m - g - S,S,P,gm dn S' nd P gm gS,Shadav - Shadav,H,A,K,H,H,K,K,H,A,K,H,H,K,K,2.8333,1,1,2,1.5,H,A,K,H,H,K,K
129,Malayamarutam,Bhairav,1 (6am - 9am),S - G - P - D - n - S',S' - n - D - P - G - r - S,S,P,"G - P - D - n - D - P - G - r, 'n - r - S",Audav - Shadav,H,A,H,A,H,H,K,H,K,H,A,H,H,K,3.2727,1,1,2,1.5,H,K,H,A,H,H,K
213,Triveni,Bhairav,1 (6am - 9am),"S - r, r - S, S - r, G - P - G, P, d - P, S'","S' - N - d - P, P - G, r - r - S",S,P,"S - r - P, d - P - S', N - d - P, G - P - G - r",Audav - Shadav,H,K,H,A,H,K,A,H,K,H,A,H,K,H,3.2727,1,1,2,1.5,H,K,H,A,H,K,H
385,"Bhairav, Rati",Bhairav,1 (6am - 9am),S - r - G - m - P - D - n - S',S' - N - d - P - m - G - r - S,S,P,,Mishra/Sankeerna,H,K,H,H,H,H,K,H,K,H,H,H,K,H,3.2857,1,1,2,1.5,H,K,H,H,H,B,B
430,"Bhairav, Beehad",Bhairav,1 (6am - 9am),S - R - m - P - d - S',S - N - d - P - d - n - d - P - m - G - r - S - r - g - g - R - S,S,P,"S - r - m, G - r - S - r - r- S",Audav - Sampoorna,H,H,A,H,H,K,A,H,B,B,H,H,K,B,3.3333,1,1,2,1.5,H,B,B,H,H,K,B
175,"Todi, Bahaduri",Bhairavi,1 (6am - 9am),"R - 'n - S  - R - g - (S)R - g, m - P - (N)d - S'","S' - r' - n - d - m - g - R, g - (S)R - g, r - S",S,P,"R - 'n - S - R - g - (S)R - g, P - R - g - S - R - 'n, r - g - r - S",Sampoorna - Sampoorna,H,H,K,H,H,K,B,H,B,K,H,A,K,K,3.6,1,1,2,1.5,H,B,K,H,H,K,B
