,Signature,Raag,Thaat,Prahar,Aaroha,Avroha,Vadi,Samvadi,Pakad,Jati,AS,AR,AG,AM,AP,AD,AN,VS,VR,VG,VM,VP,VD,VN,coeff,P,V,S,coeff2,BS,BR,BG,BM,BP,BD,BN
4,366,Kakambheri,Bhairavi,1 (6am - 9am),S - r - g - m - P - d - S',S' - n - d - P - m - g - r - S,D,G,,Shadav - Sampoorna,H,K,K,H,H,K,A,H,K,K,H,H,K,K,3.1538,1,4,3,3.5,H,K,K,H,H,K,K
10,485,"Hindol, Ajad",Kalyan,1 (6am - 9am),S - G - M - D - S',S' - N - D - P - M - G - S,D,G,"M - D - N - D - P, M - D - S', S' - D - M - G - P, M - G, G - S",Vakra,H,A,H,T,A,H,A,H,A,H,T,H,H,H,3.8,1,4,3,3.5,H,A,H,T,H,H,H
11,26,"Bhairav, Bairagi",Bhairav,1 (6am - 9am),S - r - m - P - n - S,S - n - P - m - r - S,n,m,"r - m - P, n - P - n, n - m - r - n, P - n - r - S",Audav - Audav,H,K,A,H,H,A,K,H,K,A,H,H,A,K,3.2,1,5,2,3.5,H,K,A,H,H,A,K
12,264,Asa / Asa Maand / Aarabhi,Bilawal,1 (6am - 9am),S - R - m - P - D - S',S' - N - D - P - m - G - R - S,S,m,R - P - m - G - R - S - 'N - 'D - S,Audav - Sampoorna,H,H,A,H,H,H,A,H,H,H,H,H,H,H,3.0833,1,1,2,1.5,H,H,H,H,H,H,H
14,308,"Manohari, Kamal",Bhairav,1 (6am - 9am),S - G - m - P - d - N - S',S' - N - d - P - m - G - S,G,N,,Shadav - Shadav,H,A,H,H,H,K,H,H,A,H,H,H,K,H,2.8333,1,3,6,4.5,H,A,H,H,H,K,H
16,516,"Kalyan, Anjani",Kalyan,1 (6am - 9am),S - R - g - M - P - D - N - S',S' - N - D - P - M - g - R - S,R,P,gR  gM P Mg R - S N.D.N. R S,Sampoorna - Sampoorna,H,H,K,T,H,H,H,H,H,K,T,H,H,H,4.1429,1,5,2,3.5,H,H,K,T,H,H,H
19,129,Malayamarutam,Bhairav,1 (6am - 9am),S - G - P - D - n - S',S' - n - D - P - G - r - S,S,P,"G - P - D - n - D - P - G - r, 'n - r - S",Audav - Shadav,H,A,H,A,H,H,K,H,K,H,A,H,H,K,3.2727,1,1,2,1.5,H,K,H,A,H,H,K
21,385,"Bhairav, Rati",Bhairav,1 (6am - 9am),S - r - G - m - P - D - n - S',S' - N - d - P - m - G - r - S,S,P,,Mishra/Sankeerna,H,K,H,H,H,H,K,H,K,H,H,H,K,H,3.2857,1,1,2,1.5,H,K,H,H,H,B,B
26,474,Patmanjiri (Bilawal Thaat Ki),Bilawal,1 (6am - 9am),S - R - G - m - P - D - S',S' - N - D - P - m - G - R - S,S,P,"S - S - R - R - S, 'N - 'D - 'N - P, (G)R - (G)R - G - m - R - R - S, G - m - R - G - m - P - m - G - R - G - m - R - S",Shadav - Sampoorna,H,H,H,H,H,H,A,H,H,H,H,H,H,H,3.0769,1,1,2,1.5,H,H,H,H,H,H,H
30,345,Lalit Mangal,Poorvi,1 (6am - 9am),S - m - P - D - N - S',r' - N - d - P - M - G - r - S,S,P,,Audav - Sampoorna,H,A,A,H,H,H,H,H,K,H,T,H,K,H,3.5833,1,1,2,1.5,H,K,H,B,H,B,H
31,23,Bhairav,Bhairav,1 (6am - 9am),S - r - G - m - P - d - N - S',S' - N - d - P - m - G - r - S,d,r,"Gm d - dP, m Gm r - S",Sampoorna - Sampoorna,H,K,H,H,H,K,H,H,K,H,H,H,K,H,3.2857,1,3,6,4.5,H,K,H,H,H,K,H
32,39,Bibhas (Bhairav Ang),Bhairav,1 (6am - 9am),S - r - G - P - d - S',S' - d - P - G - r - S,d,r,GPd GP - GrS,Audav - Audav,H,K,H,A,H,K,A,H,K,H,A,H,K,A,3.0,1,3,6,4.5,H,K,H,A,H,K,A
33,70,Gunakari,Bhairav,1 (6am - 9am),S - r - m - P - d - S',S' - (N)d - P - m - (G)r - S,d,r,r - m - P - d - d - P - m - r - r - 'd - S,Audav - Audav,H,K,A,H,H,K,A,H,K,H,H,H,K,H,3.0833,1,3,6,4.5,H,K,H,H,H,K,H
